user_id,item_id,rating,timestamp
698,105,3,886568066
616,452,1,883789715
322,202,5,878739953
681,126,5,888517011
815,330,5,891710922
193,212,2,879523575
21,525,4,878888026
332,519,4,891045117
278,153,5,875296291
654,450,3,887428280
325,484,5,879875483
880,98,3,876538571
829,632,4,891898661
561,356,1,879195125
535,162,5,882360080
546,300,3,891282680
550,558,5,892784479
391,490,5,891039049
576,190,4,880472055
150,774,2,879543366
63,195,4,889737992
245,671,4,884923047
626,1477,3,879530967
268,280,1,891451590
804,526,3,881698798
795,194,5,892675424
494,659,3,888635144
748,237,3,878847863
922,1276,5,880388322
111,749,4,884992444
496,839,3,879310679
757,516,3,881976377
194,614,4,880650666
93,929,2,891724747
43,248,4,878346630
377,923,3,880331938
252,14,4,891628019
847,237,4,887046329
912,78,4,880758974
295,520,4,884197091
703,13,3,891397190
449,335,3,882370464
477,654,3,889395541
322,245,4,878739177
688,149,4,876676134
888,239,3,880177246
534,954,3,879618338
377,161,4,880046332
918,49,3,875288570
536,209,3,886031912
824,115,3,880755693
5,184,5,883601393
4,266,4,875635064
449,603,4,882373231
607,110,1,880406507
56,471,1,883697253
879,393,3,880243319
256,128,4,880008245
927,164,5,880936863
41,587,5,881108147
504,70,4,889333937
877,110,4,880867282
693,120,5,875726886
123,97,4,890287822
401,8,4,876266741
384,1064,3,879445153
41,317,5,881107718
572,173,4,885844431
523,527,4,884634818
832,21,3,875122716
261,69,4,879962517
474,268,4,891451276
404,945,2,885548836
768,404,2,885424214
42,312,5,887076865
275,366,3,874791667
588,267,1,883352463
898,462,4,884121342
729,0,4,880310285
832,345,5,884828744
877,434,4,880866103
101,227,4,888801465
714,80,4,875963112
12,847,5,882140001
805,80,5,882389727
573,332,3,891279285
539,221,4,882157224
898,150,2,884122367
552,7,3,879949290
879,1445,4,880174705
612,575,3,891227204
649,577,3,891381661
289,238,2,880474451
554,268,5,879962096
605,281,4,878147641
531,328,4,886364769
417,749,2,891282626
0,209,4,878542909
532,282,3,879365733
59,228,4,883327472
234,152,4,889655662
15,98,5,877720733
42,846,5,875975468
48,1027,2,888069304
84,1165,4,879455021
372,227,4,877106328
307,505,4,887738191
59,87,4,883327684
200,38,1,884112427
512,251,5,885063549
220,720,5,875246944
691,475,3,876953279
296,514,5,874954353
825,186,4,885690481
428,1,3,882387599
6,257,4,892135277
204,321,3,888284577
68,128,3,882072778
516,334,3,875492066
278,136,4,886014686
285,234,4,875807003
652,691,2,880151884
405,201,3,880131704
694,902,4,888806082
520,153,2,884478119
83,24,3,883452462
660,173,5,876013447
143,283,3,888104213
372,212,4,877100061
206,120,3,875504876
621,143,5,882592103
895,214,5,887158959
482,179,2,878954086
879,244,2,892958350
885,180,5,876031392
863,113,5,888888168
827,1461,3,891037948
540,653,3,883875215
904,870,2,884984149
290,95,4,874835062
17,701,3,880131407
398,65,3,882343171
839,610,4,891204509
188,629,4,893266376
560,1448,5,885808620
560,180,3,885807318
388,1073,2,880613841
6,99,5,891351082
732,285,4,879535471
190,268,3,891562090
302,1006,5,879544576
861,215,5,879304410
393,231,4,880889374
660,526,4,876035679
654,268,3,888474807
880,12,4,876536364
631,16,3,879459573
584,918,2,891283681
93,762,3,891722006
307,274,4,887737891
434,586,3,884132403
292,411,1,888905377
64,805,4,879216529
377,865,2,880044726
737,185,4,875351773
658,314,3,891044991
734,180,4,876698604
693,602,4,875727476
102,300,4,880416704
342,176,4,876407252
492,327,4,884129823
321,655,5,887314027
685,356,5,879545549
2,329,2,889237297
708,738,3,879849049
328,173,4,891656639
57,651,5,884304728
79,885,4,883605238
310,210,3,884364538
254,293,2,883215406
326,320,3,887743761
319,53,4,884751209
238,602,5,889178616
649,136,3,891385105
89,463,5,891385039
182,87,3,891466760
931,166,4,891251647
233,1458,3,892335261
344,940,3,884993932
866,288,5,880077950
209,0,5,887731052
697,274,4,886366558
653,264,5,887864330
466,267,5,879532164
377,222,4,880045651
675,254,5,892686348
893,284,4,880416136
846,163,3,878941056
907,6,3,879722334
446,596,3,878855021
4,226,4,875636099
802,285,5,880054592
868,1162,2,884492238
243,832,3,880607878
55,746,4,892677162
405,190,5,882480443
341,380,5,875320312
681,577,3,888522575
907,182,4,879722427
614,302,5,879447530
901,288,3,879463433
197,508,4,884208710
158,1253,1,884360361
367,773,4,889783562
212,404,3,878870904
882,207,4,891694340
794,221,3,880558122
347,925,3,886523683
406,290,4,876348681
502,713,4,880383126
428,191,3,882385612
233,377,4,892335213
232,602,4,880190566
859,286,3,885991407
353,254,2,891216788
5,524,5,883601203
504,494,3,889333823
591,262,1,882607779
475,89,3,883364433
12,332,3,881514810
61,226,1,879375843
485,470,5,879874969
740,27,3,891018339
885,356,4,876031601
115,342,2,881246552
5,99,5,883599176
180,717,1,878962675
290,420,4,875087352
926,299,5,879176156
937,247,1,891356390
723,351,1,883757259
398,221,3,882344434
464,474,3,883530313
712,1655,2,888882085
12,550,1,882397084
335,691,3,877757637
292,1041,3,888907575
882,87,4,891696715
847,495,2,887037980
394,256,5,883765386
4,79,2,875636511
396,99,5,882839517
499,110,4,888538350
642,86,5,891447663
300,754,4,882078308
467,723,4,875287615
825,228,4,885690713
760,293,3,876189664
486,470,3,883441956
492,126,3,884130416
434,570,2,884134047
664,292,4,884290728
706,951,3,880060724
441,149,4,883388283
186,190,5,879465566
853,810,3,882814091
941,477,5,891283017
540,499,4,883874682
0,192,4,876892654
654,309,3,887473937
191,110,2,881368222
0,67,4,875072688
891,1443,3,886610267
487,131,3,891294108
600,64,4,876350017
312,160,4,891015319
251,846,4,891456738
274,134,3,880314824
12,240,3,882397502
832,134,4,875123677
795,1038,4,892662223
709,91,3,883705436
663,461,4,878091912
879,1034,4,880242933
327,613,4,885046276
326,395,3,887819538
710,247,5,886030732
285,761,2,876522008
297,195,4,884182891
138,306,4,879537876
488,1611,5,891446623
594,324,3,886920774
935,126,5,886833795
756,144,3,888467442
781,899,3,891497963
707,1279,1,892718819
238,63,1,889178616
896,207,5,879991037
803,494,3,879442792
326,804,4,887819462
513,189,5,875318224
791,20,3,877910444
778,878,3,875501300
795,315,5,892610692
182,54,4,891466266
428,795,3,882386601
350,244,3,879481550
405,471,3,879539884
249,259,4,878089144
586,307,3,892871642
787,362,2,880871088
662,654,4,889493869
333,300,2,891544233
503,502,4,887837958
842,581,2,879445658
206,110,3,880839802
223,125,3,888103704
202,150,4,880434384
428,1295,2,882387392
599,81,5,888451583
492,741,3,884130253
200,463,1,884140522
915,163,4,880845028
748,30,5,878847209
76,198,5,884733988
416,1214,2,879646712
896,119,3,879993886
63,704,5,879365558
934,280,5,884472310
657,922,3,875148059
270,702,3,885848559
496,228,2,879310850
681,209,4,888522326
621,448,2,882592850
144,543,4,875271312
803,234,5,879443736
415,632,4,876699757
681,741,3,888519738
515,180,4,891290566
663,701,4,876526052
649,226,2,891369836
